decimalLatitude,decimalLongitude,day,month,year,t2m,e,tp,sdtb,altitude,ndvi,species,sp,ocup_solo,t2m_abr_ago,et_acumulada_180d,pet_acumulada_180d,t_minima_media_abr_ago,dias_geada_abr_ago
-31.987228,-60.493456,14.0,7.0,2022,283.25811767578125,-3.020744770765305e-05,8.642673492431641e-07,2345.16,71,0.3593,Unknown,1,0.0,286.6600341796875,-0.2942420244216919,-1.064469337463379,283.5429382324219,2
39.28958,-84.693552,7.0,5.0,2023,294.90380859375,-0.0001185992732644,0.0,1281.91,243,0.2815,Unknown,1,0.0,302.427490234375,-0.8296834230422974,-9.016292572021484,299.06011962890625,0
37.959399,23.717649,11.0,11.0,2017,293.6177978515625,-0.0002933032810688,8.583068620282575e-07,872.0,-1324,0.1061,Unknown,1,0.0,,0.0,0.0,,0
4.769681,-74.099952,5.0,5.0,2023,294.47125244140625,-0.000469802878797,4.076361801708117e-05,1828.54,2552,0.0059,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
4.767466,-74.099109,3.0,5.0,2023,294.8326721191406,-0.000142753124237,0.0,1828.54,2552,0.0329,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
-34.165982,-70.658578,4.0,11.0,2022,290.6430053710937,-1.904089003801345e-05,8.52346317969932e-07,3096.29,535,0.3649,Unknown,1,0.0,281.7794189453125,-0.22557421028614044,-0.504463791847229,276.5502624511719,78
38.969845,-5.806531,19.0,6.0,2023,284.85040283203125,-4.876777529716492e-05,0.0,1981.03,468,0.2349,Unknown,1,0.0,,0.0,0.0,,0
-34.334956,20.323297,25.0,12.0,2015,296.8065185546875,-0.0002802181988954,1.9997357867396204e-06,2668.75,-3403,0.3044,Unknown,1,0.0,,0.0,0.0,,0
-34.078388,19.243395,31.0,7.0,2021,293.32421875,-0.0009515779092907,1.7195939108205494e-06,2920.84,-4480,0.5373,Unknown,1,0.0,,0.0,0.0,,0
-33.666509,18.569393,27.0,4.0,2019,298.6005249023437,-0.000366810709238,1.475214958190918e-06,3527.14,-4566,0.2802,Unknown,1,0.0,,0.0,0.0,,0
-33.424134,18.952963,25.0,4.0,2023,290.45751953125,-0.0001527136191725,4.331171658122912e-05,2998.63,-4600,0.3889,Unknown,1,0.0,,0.0,0.0,,0
-33.931747,18.865517,10.0,8.0,2021,278.0634765625,-0.0013847891241312,0.0006433576345443,2595.93,-4540,0.5436,Unknown,1,0.0,,0.0,0.0,,0
35.554614,45.445264,19.0,3.0,2023,304.2353210449219,-0.0016943863593041,0.0013951316941529,382.89,718,0.004,Unknown,1,0.0,,0.0,0.0,,0
36.095879,-82.870186,10.0,4.0,2010,292.4433288574219,-0.0001525087282061,0.0,1699.9,419,0.6391,Unknown,1,0.0,300.5391540527344,-1.1954103708267212,-5.295816421508789,297.6028137207031,0
-4.210815,-79.391808,5.0,10.0,2005,287.5833740234375,-6.570108234882355e-05,1.9744038581848145e-05,810.26,2525,0.0,Unknown,1,0.0,298.2459411621094,-0.9091012477874756,-2.859081983566284,296.0626525878906,0
38.62,-0.75,8.0,5.0,2018,293.71826171875,-0.0002012168988585,8.121132850646973e-06,1105.24,842,0.0203,Unknown,1,0.0,,0.0,0.0,,0
38.75,-0.44,20.0,3.0,2014,299.1289367675781,-0.0002204277552664,0.006802107207477,822.34,441,0.407,Unknown,1,0.0,,0.0,0.0,,0
-1.133333,-78.816667,14.0,4.0,2004,256.0692749023437,-5.909241735935211e-05,5.099177542433608e-06,1812.62,3885,-0.0247,Unknown,1,0.0,297.0767517089844,-0.8001555800437927,-2.1752512454986572,295.23223876953125,0
-33.95427,18.481659,3.0,10.0,2021,298.4697265625,-0.0003924593329429,0.0008799880743026,3003.26,-4538,0.3532,Unknown,1,0.0,,0.0,0.0,,0
9.558158,-83.709503,4.0,7.0,2013,296.874267578125,-0.0001791464164853,0.0008871704339981,710.11,3022,-0.0511,Unknown,1,0.0,301.17742919921875,-1.124618649482727,-7.116874694824219,297.861328125,0
39.581881,-77.64481,21.0,4.0,2011,280.23126220703125,-0.0002915859222412,0.0,1377.0,123,0.5145000000000001,Unknown,1,0.0,300.0712890625,-1.1851787567138672,-5.121211051940918,297.1299743652344,0
37.054665,-5.706073,10.0,4.0,2021,293.6277770996094,-0.0001540957018733,0.0,601.41,83,0.1108,Unknown,1,0.0,,0.0,0.0,,0
-33.571606,-58.411701,22.0,10.0,2020,290.0947570800781,-0.0010421760380268,0.0133596137166023,2204.79,17,0.1246,Unknown,1,0.0,286.6632385253906,-0.5866409540176392,-0.916852593421936,284.15570068359375,2
38.21665,-87.795901,2.0,6.0,2020,292.85113525390625,-9.845104068517684e-05,8.52346317969932e-07,1931.52,124,0.5703,Unknown,1,0.0,302.2489929199219,-0.886333703994751,-9.04680061340332,298.6664733886719,0
38.666959,22.520885,15.0,6.0,2020,310.36962890625,-2.6800669729709625e-05,8.523463748133508e-07,1356.69,-104,0.4865,Unknown,1,0.0,,0.0,0.0,,0
37.450775,-6.366742,14.0,4.0,2022,295.744140625,-0.0014457278884947,0.0,807.11,63,0.557,Unknown,1,0.0,,0.0,0.0,,0
39.794555,-5.248394,19.0,3.0,2021,304.9596252441406,-0.0011210152879357,3.6299229577707592e-06,695.51,471,0.1787,Unknown,1,0.0,,0.0,0.0,,0
36.160208,5.773796,20.0,4.0,2022,295.88409423828125,-0.0002446742728352,0.0,1762.31,86,0.0961,Unknown,1,0.0,,0.0,0.0,,0
38.026521,23.738369,24.0,4.0,2021,291.5693359375,-0.000138621777296,2.7567148208618164e-06,655.45,-896,-0.0201,Unknown,1,0.0,,0.0,0.0,,0
36.753413,-6.037318,18.0,2.0,2022,306.7373046875,-0.0009265653789043,6.616115570068359e-06,703.99,29,0.091,Unknown,1,0.0,,0.0,0.0,,0
37.827518,12.470262,31.0,12.0,2021,263.89239501953125,-0.0001052049919962,0.0011077106464654,1240.07,-1884,0.5286000000000001,Unknown,1,0.0,,0.0,0.0,,0
-33.808165,18.655353,25.0,9.0,2022,292.3073425292969,-0.0016110353171825,0.0,2819.64,-4572,0.209,Unknown,1,0.0,,0.0,0.0,,0
-0.25,-78.6,15.0,3.0,2003,281.107177734375,-0.0003609964624047,0.0082157161086797,1266.2,3029,0.0675,Unknown,1,0.0,297.0643310546875,-0.7360620498657227,-1.9007320404052734,295.4130554199219,0
-0.333334,-78.63334,18.0,11.0,2008,280.736083984375,-0.0001677349209785,0.0008656621212139,1051.01,3749,0.0475,Unknown,1,0.0,297.31036376953125,-0.7842671871185303,-2.218679428100586,295.5010070800781,0
-0.25,-78.6,9.0,3.0,2007,279.9609375,-0.0003332742489874,0.0009847686160355,1266.2,3029,0.0546,Unknown,1,0.0,297.3448791503906,-0.7719268798828125,-2.1706767082214355,295.6131286621094,0
-0.25,-78.6,3.0,4.0,2005,280.893798828125,-0.0004682950675487,0.0010413706768304,1266.2,3029,0.0324,Unknown,1,0.0,297.6676940917969,-0.8049548864364624,-2.338669538497925,295.8563232421875,0
-0.25,-78.6,4.0,4.0,2005,279.492919921875,-0.0002859756350517,0.0002555727842263,1266.2,3029,0.2231,Unknown,1,0.0,297.6676940917969,-0.8049548864364624,-2.338669538497925,295.8563232421875,0
1e-06,-77.49961,4.0,4.0,2010,290.947998046875,-2.2154301404953003e-05,0.0002131462097167,865.62,1236,-0.0434,Unknown,1,0.0,297.8044738769531,-0.8168399333953857,-2.300183057785034,296.07757568359375,0
-0.25,-78.6,28.0,3.0,2003,280.190673828125,-6.71539455652237e-05,0.0004317566636018,1266.2,3029,-0.0432,Unknown,1,0.0,297.0643310546875,-0.7360620498657227,-1.9007320404052734,295.4130554199219,0
-0.2,-78.716667,18.0,11.0,2000,283.519287109375,-0.0002063661813735,0.0033706575632095,1504.84,2269,0.0167,Unknown,1,0.0,296.71649169921875,-0.7123546004295349,-1.6653295755386353,295.1031494140625,0
-0.25,-78.6,3.0,9.0,2007,277.9736328125,-0.0002860538661479,0.0003658235073089,1266.2,3029,0.1098,Unknown,1,0.0,297.3448791503906,-0.7719268798828125,-2.1706767082214355,295.6131286621094,0
-0.3,-78.634445,3.0,4.0,2005,281.436767578125,-0.0003215949982404,0.0007940858486108,1113.8,3149,0.03,Unknown,1,0.0,297.6676940917969,-0.8049548864364624,-2.338669538497925,295.8563232421875,0
-0.25,-78.6,24.0,3.0,2006,280.09912109375,-0.0002889912575483,0.0001798361481633,1266.2,3029,0.1233,Unknown,1,0.0,297.4816589355469,-0.8020740747451782,-2.4705193042755127,295.65289306640625,0
-0.25,-78.6,21.0,3.0,2006,280.365234375,-0.0002744561061263,0.000919553625863,1266.2,3029,0.0,Unknown,1,0.0,297.4816589355469,-0.8020740747451782,-2.4705193042755127,295.65289306640625,0
-0.483333,-78.366667,30.0,6.0,2003,277.4052734375,-0.0003534220159053,0.001203253865242,1071.98,3595,0.1719,Unknown,1,0.0,297.06890869140625,-0.7883399724960327,-1.9322998523712158,295.35400390625,0
-0.23333,-78.41388,4.0,4.0,2011,303.7136535644531,-0.0012686178088188,0.0008469596505165,999.12,2430,0.1529,Unknown,1,0.0,297.35845947265625,-0.7780022621154785,-2.167457103729248,295.6404113769531,0
-0.25,-78.6,11.0,12.0,2004,280.735107421875,-0.0002282336354255,0.0002030983450822,1266.2,3029,0.0961,Unknown,1,0.0,297.1371765136719,-0.7788840532302856,-2.022709846496582,295.384765625,0
-0.25,-78.6,28.0,10.0,2005,286.9619140625,-0.0001963195390999,0.0044801756739616,1266.2,3029,0.0246,Unknown,1,0.0,297.6676940917969,-0.8049548864364624,-2.338669538497925,295.8563232421875,0
-0.25,-78.666667,15.0,10.0,2010,284.698486328125,-0.0003440491855144,0.0030783205293118,1307.64,3356,0.1113,Unknown,1,0.0,297.82666015625,-0.792753279209137,-2.3437187671661377,296.0701599121094,0
-0.25,-78.6,16.0,4.0,2004,299.4426574707031,-0.0001386981457471,4.261731874066754e-07,1266.2,3029,0.1946,Unknown,1,0.0,297.1371765136719,-0.7788840532302856,-2.022709846496582,295.384765625,0
-0.3,-78.633333,28.0,10.0,2005,286.9619140625,-0.0001963195390999,0.0044801756739616,1113.8,3257,0.0171,Unknown,1,0.0,297.6676940917969,-0.8049548864364624,-2.338669538497925,295.8563232421875,0
-0.924547,-89.483085,29.0,7.0,2006,295.297607421875,-0.000221662223339,0.0001623183488845,965.66,239,0.0937,Unknown,1,0.0,297.40289306640625,-0.8043168783187866,-2.5900895595550537,295.4704284667969,0
-33.859662,18.557298,30.0,4.0,2022,292.4718322753906,-0.0004848707467317,7.68899917602539e-06,2955.68,-4540,0.3374,Unknown,1,0.0,,0.0,0.0,,0
32.6412,-85.3931,1.0,4.0,2005,296.9866638183594,-0.0002665389329195,0.0001869052648544,1016.65,239,0.0623,Unknown,1,0.0,301.4817810058594,-0.9747542142868042,-7.7169084548950195,298.0268249511719,0
33.014999,-86.707779,10.0,4.0,2005,286.74188232421875,-3.4926459193229675e-05,0.0,1001.5,175,0.2186,Unknown,1,0.0,301.4817810058594,-0.9747542142868042,-7.7169084548950195,298.0268249511719,0
9.98194,-83.8375,29.0,4.0,2003,287.0190124511719,-0.0001965472474694,8.919835090637207e-05,934.84,3269,0.0863,Unknown,1,0.0,301.4178771972656,-1.0205519199371338,-7.866727828979492,297.94464111328125,0
34.113894,2.101558,26.0,3.0,2022,298.590087890625,-0.0002417499199509,0.0,1524.94,1007,0.1483,Unknown,1,0.0,,0.0,0.0,,0
37.901192,-4.759257,16.0,2.0,2021,299.84381103515625,-0.000686228275299,0.0063535748049616,1037.48,126,0.5549000000000001,Unknown,1,0.0,,0.0,0.0,,0
36.701625,-4.700823,25.0,3.0,2021,299.691650390625,-0.0003185113891959,4.261731874066754e-07,648.61,123,0.5582,Unknown,1,0.0,,0.0,0.0,,0
35.123241,-80.916295,1.0,3.0,2022,298.348876953125,-0.0004019914194941,0.0,1152.32,183,0.2868,Unknown,1,0.0,300.8138732910156,-1.0201573371887207,-6.890664100646973,297.5596008300781,0
-34.614899,19.896285,30.0,12.0,2021,293.59674072265625,-0.0004436634480953,0.0150270704180002,2063.74,-4557,0.0415,Unknown,1,0.0,,0.0,0.0,,0
39.298468,-77.0045,17.0,4.0,2021,297.04736328125,-0.0001944359391927,6.092339754104614e-05,1332.12,44,0.1075,Unknown,1,0.0,301.3317565917969,-0.9335847496986389,-7.981647491455078,297.9986572265625,0
-34.866373,-56.223407,2.0,8.0,2021,285.928466796875,-3.861822187900543e-05,4.7147274017333984e-05,2027.94,14,0.1163,Unknown,1,0.0,285.7821960449219,-0.4419562816619873,-0.8688023090362549,283.0412902832031,2
39.809717,-75.638359,17.0,4.0,2021,297.04736328125,-0.0001944359391927,6.092339754104614e-05,1186.83,20,0.0756,Unknown,1,0.0,301.3317565917969,-0.9335847496986389,-7.981647491455078,297.9986572265625,0
36.263199,6.591597,15.0,4.0,2021,290.14093017578125,-0.0011954009532928,0.0035064816474914,1108.09,-96,-0.0072,Unknown,1,0.0,,0.0,0.0,,0
-34.681132,-58.44516,23.0,10.0,2020,291.3944091796875,-0.0003172680735588,0.004519298672676,2786.02,3,0.0424,Unknown,1,0.0,,0.0,0.0,,0
29.310267,47.951012,9.0,3.0,2021,289.57861328125,-0.0003545172512531,0.0003872811794281,2851.84,307,0.1081,Unknown,1,0.0,,0.0,0.0,,0
-34.907948,-57.948316,5.0,7.0,2020,293.8062744140625,-0.0001380797475576,0.0,2246.74,25,0.2672,Unknown,1,0.0,,0.0,0.0,,0
35.89313,-79.053664,22.0,3.0,2021,298.501708984375,-0.0002372981980443,4.917383193969727e-07,1075.32,115,0.3642,Unknown,1,0.0,301.3317565917969,-0.9335847496986389,-7.981647491455078,297.9986572265625,0
-24.528333,-53.203333,5.0,8.0,2009,291.93670654296875,-7.774820551276207e-05,0.0,980.01,352,0.546,Unknown,1,39.0,291.5322265625,-0.6720927953720093,-2.604522705078125,288.5101623535156,0
-24.844444,-51.743889,6.0,8.0,2009,297.33697509765625,-0.0001441109925508,0.0,1129.17,991,0.2161,Unknown,1,3.0,288.1224365234375,-0.6010973453521729,-0.9515902400016785,284.9014892578125,2
38.128743,-4.911734,27.0,6.0,2020,291.85333251953125,-7.928535342216492e-05,3.997981548309326e-05,742.77,519,0.4274,Unknown,1,0.0,,0.0,0.0,,0
37.923707,-79.230004,7.0,4.0,2020,276.42236328125,-2.123415470123291e-05,2.995133399963379e-06,1844.89,538,0.5,Unknown,1,0.0,302.2489929199219,-0.886333703994751,-9.04680061340332,298.6664733886719,0
37.757085,-87.089426,7.0,6.0,2020,289.998291015625,-0.0001186244189739,0.0,1882.72,132,0.539,Unknown,1,0.0,302.2489929199219,-0.886333703994751,-9.04680061340332,298.6664733886719,0
-34.160739,-56.69227,19.0,8.0,2020,292.94482421875,-0.0002606101334095,0.0001526892156107,1599.97,46,0.1038,Unknown,1,0.0,286.0088195800781,-0.3794512152671814,-1.05873441696167,283.338623046875,3
-33.930553,18.863712,25.0,8.0,2020,293.8296203613281,-0.0003784205764532,0.0,2595.93,-4540,0.0266,Unknown,1,0.0,,0.0,0.0,,0
39.62,2.6,11.0,4.0,2006,286.968017578125,-0.0007074521854519,2.1348896552808583e-06,914.08,-126,0.0816,Unknown,1,0.0,,0.0,0.0,,0
-32.421681,-63.223607,8.0,12.0,2002,290.4136657714844,-0.0003012474626302,0.0001819521130528,3402.23,200,0.0884,Unknown,1,0.0,286.2156982421875,-0.2996807396411896,-1.2283470630645752,283.3116149902344,10
37.605556,-0.985278,22.0,4.0,2019,289.43951416015625,-0.0021339943632483,0.0056845694780349,1015.84,12,0.0128,Unknown,1,0.0,,0.0,0.0,,0
37.201389,-3.608611,15.0,3.0,2020,289.6339111328125,-0.0015535466372966,2.09808349609375e-05,1062.61,703,-0.0079,Unknown,1,0.0,,0.0,0.0,,0
31.447222,-89.209167,3.0,3.0,2020,291.10546875,-0.000116940587759,0.0015824253205209,1211.96,83,0.0229,Unknown,1,0.0,302.2489929199219,-0.886333703994751,-9.04680061340332,298.6664733886719,0
36.678532,2.966769,9.0,2.0,2020,296.70086669921875,-0.0004834439605474,0.0010127127170562,869.52,-2639,0.2788,Unknown,1,0.0,,0.0,0.0,,0
-32.421707,-63.223611,8.0,12.0,2002,290.4136657714844,-0.0003012474626302,0.0001819521130528,3402.23,200,0.0884,Unknown,1,0.0,286.2156982421875,-0.2996807396411896,-1.2283470630645752,283.3116149902344,10
36.671395,2.966848,21.0,1.0,2020,301.81121826171875,-0.0004365714266896,0.0,869.52,-2637,0.3537,Unknown,1,0.0,,0.0,0.0,,0
27.852318,-82.359413,24.0,2.0,2019,299.89703369140625,-0.0003110961988568,8.553265615773853e-07,723.07,8,0.4419,Unknown,1,0.0,302.75445556640625,-0.7335327863693237,-10.367973327636719,298.9975280761719,0
-33.783044,18.487746,18.0,5.0,2019,292.4195556640625,-0.0003754468634724,0.0001203894498758,3513.52,-4585,0.0694,Unknown,1,0.0,,0.0,0.0,,0
